Language,LanguageName,Country,Sub-topic,Items
es,Spanish,Peru,Platform regulation,1
es,Spanish,Philippines,Platform governance,1
es,Spanish,Philippines,Platform regulation,1
es,Spanish,Poland,Platform governance,1
es,Spanish,Portugal,Debate management,1
es,Spanish,Portugal,Platform governance,1
es,Spanish,Russia,Brand safety,1
es,Spanish,Russia,Compliance,1
es,Spanish,Senegal,Brand safety,1
es,Spanish,Spain,Compliance,1
es,Spanish,Spain,Moderation as industrial labour,1
es,Spanish,Thailand,Brand safety,1
es,Spanish,United Kingdom,Brand safety,1
es,Spanish,United Kingdom,Platform governance,1
es,Spanish,United States,Censorship,1
es,Spanish,United States,Compliance,1
es,Spanish,United States,Regulative,1
es,Spanish,Uruguay,Compliance,1
es,Spanish,Uruguay,Debate management,1
es,Spanish,Venezuela,Compliance,1
es,Spanish,Venezuela,Debate management,1
es,Spanish,Venezuela,Platform governance,1
fr,French,(unspecified),Debate management,1
fr,French,(unspecified),Platform governance,1
fr,French,Australia,Platform governance,1
fr,French,Belgium,Censorship,1
fr,French,Belgium,Community norms and identity,1
fr,French,Belgium,Platform governance,1
fr,French,Brazil,Platform governance,1
fr,French,Canada,Censorship,1
fr,French,Canada,Moderating extremism,1
fr,French,Canada,Platform regulation,1
fr,French,Denmark,Platform governance,1
fr,French,European Union,Censorship,1
fr,French,European Union,Gatekeeping (selection theory),1
fr,French,European Union,Moderating extremism,1
fr,French,Finland,Platform governance,1
fr,French,France,Brand safety,1
fr,French,France,Gatekeeping (selection theory),1
fr,French,France,Moderating extremism,1
fr,French,Germany,Censorship,1
fr,French,Germany,Community norms and identity,1
fr,French,Germany,Compliance,1
fr,French,Germany,Debate management,1
fr,French,Germany,Gatekeeping (selection theory),1
fr,French,Germany,Regulative,1
fr,French,Greece,Debate management,1
fr,French,Ireland,Platform governance,1
fr,French,Israel,Platform governance,1
fr,French,Italy,Platform governance,1
fr,French,Kenya,Moderation as industrial labour,1
fr,French,Morocco,Platform governance,1
fr,French,Netherlands,Platform governance,1
fr,French,New Zealand,Moderating extremism,1
fr,French,Philippines,Community norms and identity,1
fr,French,Philippines,Platform governance,1
fr,French,Russia,Platform governance,1
fr,French,Saudi Arabia,Moderating extremism,1
fr,French,Senegal,Platform governance,1
fr,French,Spain,Censorship,1
fr,French,Switzerland,Content moderation as industrial labour,1
fr,French,United Kingdom,Censorship,1
fr,French,United Kingdom,Community norms and identity,1
fr,French,United Kingdom,Gatekeeping (selection theory),1
fr,French,United Kingdom,Platform regulation,1
fr,French,United States,Brand safety,1
fr,French,United States,Compliance,1
fr,French,United States,Moderating extremism,1
