Topic,Medium,How,Items
Censorship,Video sharing platform,Coersive,15
Censorship,Wikis,Restricting access,15
Content moderation,Alt-tech,Blocking,15
Content moderation,Decentralized social media,Deplatforming,15
Content moderation,Decentralized social media,Labeling,15
Content moderation,Decentralized social media,Profiling,15
Content moderation,Decentralized social media,Review,15
Content moderation,Print media,Blocking,15
Content moderation,Print media,Deplatforming,15
Content moderation,Print media,Profiling,15
Content moderation,Print media,Rating,15
Content moderation,Search engine,Coersive,15
Content moderation,Search engine,Prompting,15
Content moderation,Search engine,Redirection,15
Content moderation,Video sharing platform,Intelligibility,15
Content moderation,Video sharing platform,Licensing,15
Content moderation,Wikis,Modification,15
Censorship,Internet (general),Coersive,14
Censorship,Internet (general),Licensing,14
Censorship,Music,Self-censorship,14
Censorship,Social media platform,Agenda setting,14
Content moderation,AI,Deplatforming,14
Content moderation,AI,Economic,14
Content moderation,Alt-tech,Labeling,14
Content moderation,App store,Marginalisation,14
Content moderation,Decentralized social media,Blocking,14
Content moderation,E-commerce,Deplatforming,14
Content moderation,Imageboard,Enframing,14
Content moderation,Messaging platform,Intermediate,14
Content moderation,Online fora,Profiling,14
Content moderation,Print media,Labeling,14
Content moderation,Short video platform,Removal,14
Content moderation,Video sharing platform,Balancing,14
Content moderation,Wikis,Economic,14
Media moderation,Social media platform,Monitoring,14
Censorship,Film,Disclosure,13
Censorship,Internet (general),Modification,13
Censorship,Internet (general),Profiling,13
Censorship,Messaging platform,Deplatforming,13
Censorship,Messaging platform,Marginalisation,13
Censorship,Performing arts,Restricting access,13
Censorship,Print media,Redirection,13
Censorship,Search engine,Coersive,13
Censorship,Search engine,Labeling,13
Censorship,Television,Disclosure,13
Censorship,Video sharing platform,Correcting,13
Censorship,Video sharing platform,Labeling,13
Censorship,Wikis,Monitoring,13
Content moderation,AI,Interiorisation,13
Content moderation,Alt-tech,Economic,13
Content moderation,App store,Monitoring,13
Content moderation,Decentralized social media,Marginalisation,13
Content moderation,E-commerce,Labeling,13
Content moderation,Messaging platform,Modification,13
Content moderation,Platforms,Correcting,13
Content moderation,Social media platform,Fairness,13
Content moderation,Wikis,Correcting,13
Debate management,Social media platform,Filtering,13
Media moderation,Social media platform,Review,13
Other,Social media platform,Filtering,13
Other,Social media platform,Monitoring,13
Censorship,Blog,Removal,12
Censorship,ISP,Economic,12
Censorship,ISP,Licensing,12
Censorship,Online fora,Filtering,12
Censorship,Performing arts,Labeling,12
Censorship,Search engine,Licensing,12
Censorship,Television,Marginalisation,12
Censorship,Video sharing platform,Modification,12
Censorship,Wikis,Filtering,12
Content moderation,App store,Deplatforming,12
Content moderation,App store,Profiling,12
Content moderation,Decentralized social media,Monitoring,12
Content moderation,Decentralized social media,Restricting access,12
Content moderation,ISP,Correcting,12
Content moderation,Imageboard,Profiling,12
Content moderation,Marketplace,Removal,12
Content moderation,Messaging platform,Intelligibility,12
Content moderation,Online fora,Labeling,12
Content moderation,Online fora,Monitoring,12
Content moderation,Short video platform,Filtering,12
Content moderation,Short video platform,Review,12
Debate management,Online fora,Filtering,12
Debate management,Social media platform,Prompting,12
Media moderation,Social media platform,Blocking,12
Censorship,AI,Removal,11
Censorship,AI,Review,11
Censorship,Academic publications,Filtering,11
Censorship,Blog,Monitoring,11
Censorship,Browser,Filtering,11
Censorship,Browser,Restricting access,11
Censorship,Film,Marginalisation,11
Censorship,ISP,Coersive,11
Censorship,ISP,Labeling,11
Censorship,Internet (general),Removal from circulation,11
Censorship,Music,Review,11
Censorship,Online fora,Review,11
Censorship,Performing arts,Rating,11
Censorship,Platforms,Filtering,11
Censorship,Platforms,Removal,11
Censorship,Protocol,Filtering,11
Censorship,Protocol,Restricting access,11
Censorship,Radio,Disclosure,11
Censorship,Radio,Marginalisation,11
Censorship,Search engine,Redirection,11
Censorship,Video sharing platform,Disclosure,11
Censorship,Wikis,Removal,11
Content moderation,AI,Prompting,11
Content moderation,Alt-tech,Monitoring,11
Content moderation,Alt-tech,Profiling,11
Content moderation,App store,Labeling,11
Content moderation,Blog,Filtering,11
Content moderation,Decentralized social media,Metamoderation,11
Content moderation,E-commerce,Disclosure,11
Content moderation,E-commerce,Restricting access,11
Content moderation,Marketplace,Enframing,11
Content moderation,Music streaming,Filtering,11
Content moderation,News media,Blocking,11
Content moderation,Online fora,Deplatforming,11
Content moderation,Online fora,Prompting,11
Content moderation,Print media,Modification,11
Content moderation,Search engine,Balancing,11
Content moderation,Search engine,Licensing,11
Content moderation,Social media platform,Inclusion,11
Content moderation,Television,Filtering,11
Debate management,Online fora,Enframing,11
Censorship,Blog,Filtering,10
Censorship,Blog,Restricting access,10
Censorship,Browser,Monitoring,10
Censorship,Internet (general),Rating,10
Censorship,Music,Coersive,10
Censorship,Music,Filtering,10
Censorship,Music,Modification,10
Censorship,Music,Removal from circulation,10
Censorship,News media,Filtering,10
Censorship,Online fora,Enframing,10
Censorship,Platforms,Enframing,10
Censorship,Print media,Balancing,10
Censorship,Protocol,Monitoring,10
Censorship,Radio,Correcting,10
Censorship,Search engine,Removal from circulation,10
Content moderation,Blog,Removal,10
Content moderation,Decentralized social media,Economic,10
Content moderation,Imageboard,Deplatforming,10
Content moderation,Imageboard,Monitoring,10
Content moderation,Marketplace,Filtering,10
Content moderation,Messaging platform,Interiorisation,10
Content moderation,News media,Monitoring,10
Content moderation,News media,Profiling,10
Content moderation,Online fora,Blocking,10
Content moderation,Print media,Correcting,10
Content moderation,Print media,Marginalisation,10
Content moderation,Search engine,Interiorisation,10
Content moderation,Search engine,Scheduling,10
Content moderation,Short video platform,Enframing,10
Content moderation,Television,Enframing,10
Content moderation,Television,Removal,10
Content moderation,Video game,Enframing,10
Content moderation,Video game,Filtering,10
Content moderation,Video sharing platform,Bridging,10
Debate management,Social media platform,Review,10
Media moderation,Print media,Enframing,10
Censorship,Blog,Blocking,9
Censorship,Film,Scheduling,9
Censorship,ISP,Removal from circulation,9
Censorship,Internet (general),Interiorisation,9
Censorship,Messaging platform,Correcting,9
Censorship,Messaging platform,Economic,9
Censorship,Music,Profiling,9
Censorship,News media,Self-censorship,9
Censorship,Online fora,Blocking,9
Censorship,Performing arts,Obfuscation,9
Censorship,Print media,Metamoderation,9
Censorship,Television,Correcting,9
Censorship,Television,Scheduling,9
Censorship,Video sharing platform,Redirection,9
Censorship,Video sharing platform,Removal from circulation,9
Censorship,Visual arts,Economic,9
Censorship,Visual arts,Filtering,9
Censorship,Visual arts,Modification,9
Censorship,Visual arts,Removal,9
Censorship,Wikis,Blocking,9
Censorship,Wikis,Self-censorship,9
Content moderation,Alt-tech,Correcting,9
Content moderation,App store,Economic,9
Content moderation,Blog,Enframing,9
Content moderation,Decentralized social media,Correcting,9
Content moderation,E-commerce,Metamoderation,9
Content moderation,Imageboard,Economic,9
Content moderation,Imageboard,Marginalisation,9
Content moderation,Marketplace,Review,9
Content moderation,Messaging platform,Coersive,9
Content moderation,Messaging platform,Licensing,9
Content moderation,Music streaming,Enframing,9
Content moderation,Music streaming,Removal,9
Content moderation,News media,Rating,9
Content moderation,Online fora,Metamoderation,9
Content moderation,Online fora,Modification,9
Content moderation,Search engine,Agenda setting,9
Content moderation,Search engine,Intelligibility,9
Content moderation,Search engine,Intermediate,9
Content moderation,Short video platform,Blocking,9
Content moderation,Short video platform,Marginalisation,9
Content moderation,Television,Labeling,9
Content moderation,Television,Review,9
Content moderation,Video game,Review,9
Content moderation,Wikis,Prompting,9
Debate management,Online fora,Prompting,9
Media moderation,Social media platform,Profiling,9
Other,Social media platform,Review,9
Censorship,Blog,Self-censorship,8
Censorship,Browser,Profiling,8
Censorship,Film,Balancing,8
Censorship,Film,Correcting,8
Censorship,Internet (general),Confiscation,8
Censorship,Internet (general),Deplatforming,8
Censorship,Library,Removal from circulation,8
Censorship,Messaging platform,Disclosure,8
Censorship,News media,Monitoring,8
Censorship,News media,Restricting access,8
Censorship,Online fora,Removal,8
Censorship,Social media platform,Confiscation,8
Censorship,VPN,Filtering,8
Censorship,VPN,Restricting access,8
Censorship,Video sharing platform,Obfuscation,8
Censorship,Visual arts,Enframing,8
Content moderation,AI,Intelligibility,8
Content moderation,Alt-tech,Restricting access,8
Content moderation,App store,Disclosure,8
Content moderation,App store,Metamoderation,8
Content moderation,App store,Restricting access,8
Content moderation,Blog,Monitoring,8
Content moderation,E-commerce,Economic,8
Content moderation,ISP,Modification,8
Content moderation,Imageboard,Blocking,8
Content moderation,Imageboard,Labeling,8
Content moderation,Internet (general),Enframing,8
Content moderation,Marketplace,Monitoring,8
Content moderation,Messaging platform,Obfuscation,8
Content moderation,Messaging platform,Scheduling,8
Content moderation,Music streaming,Review,8
Content moderation,News media,Modification,8
Content moderation,Online learning platform,Enframing,8
Content moderation,Short video platform,Monitoring,8
Content moderation,Video game,Blocking,8
Content moderation,Video game,Removal,8
Content moderation,Video streaming platform,Filtering,8
Content moderation,Video streaming platform,Removal,8
Content moderation,Wikis,Self-censorship,8
Debate management,Online fora,Coherence,8
Debate management,Social media platform,Coherence,8
Media moderation,Print media,Blocking,8
Media moderation,Print media,Monitoring,8
Media moderation,Print media,Removal,8
Media moderation,Print media,Review,8
Media moderation,Television,Filtering,8
Media moderation,Video sharing platform,Filtering,8
Other,Social media platform,Correcting,8
Censorship,AI,Enframing,7
Censorship,Academic publications,Blocking,7
Censorship,Academic publications,Economic,7
Censorship,Academic publications,Self-censorship,7
Censorship,Blog,Deplatforming,7
Censorship,Browser,Modification,7
Censorship,Comics,Removal from circulation,7
Censorship,ISP,Rating,7
Censorship,Library,Removal,7
Censorship,Literature,Modification,7
Censorship,Literature,Self-censorship,7
Censorship,Messaging platform,Coersive,7
Censorship,Messaging platform,Labeling,7
Censorship,Messaging platform,Licensing,7
Censorship,Messaging platform,Obfuscation,7
Censorship,Platforms,Review,7
Censorship,Print media,Fairness,7
Censorship,Search engine,Interiorisation,7
Censorship,Social media platform,Scheduling,7
Censorship,Television,Balancing,7
Censorship,Video sharing platform,Interiorisation,7
Censorship,Video sharing platform,Licensing,7
Censorship,Visual arts,Review,7
Content moderation,AI,Obfuscation,7
Content moderation,Blog,Review,7
Content moderation,Decentralized social media,Rating,7
Content moderation,Infrastructure,Deplatforming,7
Content moderation,Marketplace,Blocking,7
Content moderation,Music streaming,Marginalisation,7
Content moderation,Online fora,Rating,7
Content moderation,Online fora,Self-censorship,7
Content moderation,Online learning platform,Prompting,7
Content moderation,Platforms,Redirection,7
Content moderation,Platforms,Removal from circulation,7
Content moderation,Platforms,Self-censorship,7
Content moderation,Print media,Disclosure,7
Content moderation,Print media,Economic,7
Content moderation,Russian social media platform,Filtering,7
Content moderation,Search engine,Obfuscation,7
Content moderation,Short video platform,Profiling,7
Content moderation,Television,Blocking,7
Content moderation,Television,Monitoring,7
Content moderation,Videoconferencing,Filtering,7
Debate management,Online fora,Intelligibility,7
Debate management,Online learning platform,Enframing,7
Debate management,Online learning platform,Prompting,7
Media moderation,Search engine,Enframing,7
Media moderation,Television,Enframing,7
Media moderation,Video sharing platform,Removal,7
Other,Social media platform,Profiling,7
(unknown),Social media platform,Filtering,6
Censorship,AI,Blocking,6
Censorship,AI,Modification,6
Censorship,AI,Profiling,6
Censorship,AI,Restricting access,6
Censorship,Academic publications,Review,6
Censorship,Blog,Review,6
Censorship,Film,Redirection,6
Censorship,ISP,Correcting,6
Censorship,ISP,Obfuscation,6
