Topic,Medium,How,Items
Censorship,Internet (general),Metamoderation,2
Censorship,Journalism,Coersive,2
Censorship,Journalism,Modification,2
Censorship,Journalism,Self-censorship,2
Censorship,Library,Disclosure,2
Censorship,Library,Economic,2
Censorship,Library,Enframing,2
Censorship,Library,Labeling,2
Censorship,Literature,Confiscation,2
Censorship,Literature,Enframing,2
Censorship,Literature,Review,2
Censorship,Mass media (traditional),Blocking,2
Censorship,Mass media (traditional),Confiscation,2
Censorship,Mass media (traditional),Labeling,2
Censorship,Mass media (traditional),Licensing,2
Censorship,Mass media (traditional),Rating,2
Censorship,Media (general),Blocking,2
Censorship,Media (general),Filtering,2
Censorship,Media (general),Removal,2
Censorship,Mobile device,Disclosure,2
Censorship,Mobile device,Enframing,2
Censorship,Mobile device,Restricting access,2
Censorship,Mobile device,Self-censorship,2
Censorship,Music,Correcting,2
Censorship,Music,Rating,2
Censorship,Music streaming,Deplatforming,2
Censorship,Music streaming,Disclosure,2
Censorship,Music streaming,Enframing,2
Censorship,Music streaming,Filtering,2
Censorship,Music streaming,Profiling,2
Censorship,Music streaming,Removal,2
Censorship,Music streaming,Review,2
Censorship,News aggregator,Coersive,2
Censorship,News aggregator,Enframing,2
Censorship,News aggregator,Filtering,2
Censorship,News aggregator,Restricting access,2
Censorship,News media,Disclosure,2
Censorship,News media,Marginalisation,2
Censorship,News media,Redirection,2
Censorship,Online fora,Coherence,2
Censorship,Online fora,Disclosure,2
Censorship,Online fora,Intelligibility,2
Censorship,Online fora,Interiorisation,2
Censorship,Online fora,Labeling,2
Censorship,Online fora,Rating,2
Censorship,Online fora,Removal from circulation,2
Censorship,Online fora,Self-censorship,2
Censorship,Oral communication,Filtering,2
Censorship,Oral communication,Modification,2
Censorship,Oral communication,Self-censorship,2
Censorship,Payment platform,Deplatforming,2
Censorship,Payment platform,Disclosure,2
Censorship,Payment platform,Economic,2
Censorship,Payment platform,Labeling,2
Censorship,Payment platform,Profiling,2
Censorship,Payment platform,Removal from circulation,2
Censorship,Payment platform,Restricting access,2
Censorship,Payment platform,Review,2
Censorship,Payment platform,Self-censorship,2
Censorship,Performing arts,Balancing,2
Censorship,Performing arts,Metamoderation,2
Censorship,Photography,Coersive,2
Censorship,Photography,Removal,2
Censorship,Photography,Removal from circulation,2
Censorship,Photography,Self-censorship,2
Censorship,Platforms,Blocking,2
Censorship,Platforms,Correcting,2
Censorship,Platforms,Disclosure,2
Censorship,Platforms,Labeling,2
Censorship,Portal,Disclosure,2
Censorship,Portal,Economic,2
Censorship,Portal,Enframing,2
Censorship,Portal,Monitoring,2
Censorship,Portal,Review,2
Censorship,Postal mail,Review,2
Censorship,Print media,Other,2
Censorship,Radio,Intermediate,2
Censorship,Russian social media platform,Blocking,2
Censorship,Russian social media platform,Enframing,2
Censorship,Russian social media platform,Filtering,2
Censorship,Russian social media platform,Restricting access,2
Censorship,Russian social media platform,Review,2
Censorship,Search engine,Intermediate,2
Censorship,Search engine,Prompting,2
Censorship,Social media platform,Inclusion,2
Censorship,Social media platform,Intermediate,2
Censorship,Social media platform,Other,2
Censorship,Software,Profiling,2
Censorship,Streaming services,Filtering,2
Censorship,Streaming services,Removal,2
Censorship,Streaming services,Restricting access,2
Censorship,Telephony,Coersive,2
Censorship,Telephony,Modification,2
Censorship,Telephony,Profiling,2
Censorship,Telephony,Redirection,2
Censorship,Television,Prompting,2
Censorship,VPN,Correcting,2
Censorship,VPN,Disclosure,2
Censorship,VPN,Removal,2
Censorship,VPN,Removal from circulation,2
Censorship,VPN,Review,2
Censorship,VPN,Self-censorship,2
Censorship,Video game,Blocking,2
Censorship,Video game,Deplatforming,2
Censorship,Video game,Disclosure,2
Censorship,Video game,Labeling,2
Censorship,Video game,Licensing,2
Censorship,Video game,Marginalisation,2
Censorship,Video game,Modification,2
Censorship,Video game,Monitoring,2
Censorship,Video game,Restricting access,2
Censorship,Video game,Review,2
Censorship,Video sharing platform,Coherence,2
Censorship,Video sharing platform,Intelligibility,2
Censorship,Video sharing platform,Intermediate,2
Censorship,Video streaming platform,Blocking,2
Censorship,Video streaming platform,Deplatforming,2
Censorship,Video streaming platform,Disclosure,2
Censorship,Video streaming platform,Enframing,2
Censorship,Video streaming platform,Labeling,2
Censorship,Video streaming platform,Removal,2
Censorship,Video streaming platform,Restricting access,2
Censorship,Videoconferencing,Blocking,2
Censorship,Videoconferencing,Deplatforming,2
Censorship,Videoconferencing,Review,2
Censorship,Visual arts,Interiorisation,2
Censorship,Web,Blocking,2
Censorship,Web,Coersive,2
Censorship,Web,Modification,2
Censorship,Web,Redirection,2
Censorship,Web,Review,2
Censorship,Web,Self-censorship,2
Censorship,Wikis,Labeling,2
Censorship,Wikis,Licensing,2
Censorship,Wikis,Obfuscation,2
Censorship,Wikis,Rating,2
Censorship,Wikis,Redirection,2
Content moderation,AI,Fairness,2
Content moderation,Adult content platform,Enframing,2
Content moderation,Adult content platform,Marginalisation,2
Content moderation,Adult content platform,Obfuscation,2
Content moderation,Alt-tech,Interiorisation,2
Content moderation,Alt-tech,Scheduling,2
Content moderation,Alternative news media,Deplatforming,2
Content moderation,App store,Intelligibility,2
Content moderation,App store,Intermediate,2
Content moderation,App store,Modification,2
Content moderation,Blog,Coherence,2
Content moderation,Blog,Economic,2
Content moderation,Blog,Rating,2
Content moderation,Blog,Redirection,2
Content moderation,Cloud computing,Removal from circulation,2
Content moderation,Code repository,Correcting,2
Content moderation,Code repository,Filtering,2
Content moderation,Code repository,Marginalisation,2
Content moderation,Code repository,Monitoring,2
Content moderation,Code repository,Removal,2
Content moderation,Code repository,Self-censorship,2
Content moderation,Comment platform,Blocking,2
Content moderation,Comment platform,Filtering,2
Content moderation,Comment platform,Rating,2
Content moderation,Computer network,Filtering,2
Content moderation,Crowdfunding,Enframing,2
Content moderation,Crowdfunding,Marginalisation,2
Content moderation,Crowdfunding,Monitoring,2
Content moderation,Crowdfunding,Removal,2
Content moderation,Crowdfunding,Review,2
Content moderation,Crowdsourcing platform,Deplatforming,2
Content moderation,Crowdsourcing platform,Filtering,2
Content moderation,Crowdsourcing platform,Monitoring,2
Content moderation,Crowdsourcing platform,Removal,2
Content moderation,Crowdsourcing platform,Review,2
Content moderation,Dating app,Blocking,2
Content moderation,Dating app,Deplatforming,2
Content moderation,Dating app,Labeling,2
Content moderation,Dating app,Marginalisation,2
Content moderation,Dating app,Restricting access,2
Content moderation,Decentralized social media,Fairness,2
Content moderation,Decentralized social media,Intermediate,2
Content moderation,Decentralized social media,Prompting,2
Content moderation,Deliberation platform,Intelligibility,2
Content moderation,Deliberation platform,Labeling,2
Content moderation,Deliberation platform,Self-censorship,2
Content moderation,E-commerce,Licensing,2
Content moderation,E-commerce,Modification,2
Content moderation,E-commerce,Obfuscation,2
Content moderation,E-commerce,Redirection,2
Content moderation,E-commerce,Removal from circulation,2
Content moderation,E-commerce,Scheduling,2
Content moderation,Email,Blocking,2
Content moderation,Email,Economic,2
Content moderation,Email,Enframing,2
Content moderation,Email,Marginalisation,2
Content moderation,Email,Monitoring,2
Content moderation,Email,Profiling,2
Content moderation,Email,Review,2
Content moderation,Fanfiction platform,Enframing,2
Content moderation,Fanfiction platform,Filtering,2
Content moderation,Fanfiction platform,Marginalisation,2
Content moderation,Fanfiction platform,Monitoring,2
Content moderation,Fanfiction platform,Review,2
Content moderation,Film,Correcting,2
Content moderation,Film,Enframing,2
Content moderation,Film,Labeling,2
Content moderation,Film,Restricting access,2
Content moderation,Film,Review,2
Content moderation,Gaming platform,Monitoring,2
Content moderation,Government website,Removal,2
Content moderation,ISP,Coherence,2
Content moderation,Image sharing platform,Economic,2
Content moderation,Image sharing platform,Enframing,2
Content moderation,Image sharing platform,Metamoderation,2
Content moderation,Imageboard,Interiorisation,2
Content moderation,Imageboard,Modification,2
Content moderation,Imageboard,Removal from circulation,2
Content moderation,Infrastructure,Labeling,2
Content moderation,Infrastructure,Removal from circulation,2
Content moderation,Infrastructure,Restricting access,2
Content moderation,Infrastructure,Self-censorship,2
Content moderation,Internet (general),Metamoderation,2
Content moderation,Live streaming,Filtering,2
Content moderation,Live streaming,Removal,2
Content moderation,Live streaming,Review,2
Content moderation,Mailing list,Metamoderation,2
Content moderation,Mailing list,Removal,2
Content moderation,Map app,Blocking,2
Content moderation,Map app,Profiling,2
Content moderation,Map app,Restricting access,2
Content moderation,Map app,Review,2
Content moderation,Marketplace,Correcting,2
Content moderation,Marketplace,Metamoderation,2
Content moderation,Marketplace,Modification,2
Content moderation,Marketplace,Prompting,2
Content moderation,Marketplace,Redirection,2
Content moderation,Marketplace,Self-censorship,2
Content moderation,Metaverse,Blocking,2
Content moderation,Metaverse,Enframing,2
Content moderation,Metaverse,Filtering,2
Content moderation,Metaverse,Labeling,2
Content moderation,Metaverse,Marginalisation,2
Content moderation,Metaverse,Rating,2
Content moderation,Metaverse,Restricting access,2
Content moderation,Mobile device,Coersive,2
Content moderation,Mobile device,Deplatforming,2
Content moderation,Mobile device,Disclosure,2
Content moderation,Mobile device,Economic,2
Content moderation,Mobile device,Labeling,2
Content moderation,Mobile device,Metamoderation,2
Content moderation,Mobile device,Modification,2
Content moderation,Mobile device,Monitoring,2
Content moderation,Mobile device,Rating,2
Content moderation,Mobile device,Review,2
Content moderation,Music streaming,Deplatforming,2
Content moderation,Music streaming,Restricting access,2
Content moderation,News aggregator,Enframing,2
Content moderation,News media,Coherence,2
Content moderation,News media,Restricting access,2
Content moderation,News media,Scheduling,2
Content moderation,News media,Self-censorship,2
Content moderation,Online community,Coherence,2
Content moderation,Online community,Enframing,2
Content moderation,Online community,Filtering,2
Content moderation,Online community,Modification,2
Content moderation,Online community,Review,2
Content moderation,Online fora,Balancing,2
Content moderation,Online fora,Bridging,2
Content moderation,Online fora,Coersive,2
Content moderation,Online fora,Inclusion,2
Content moderation,Online fora,Intermediate,2
Content moderation,Online fora,Obfuscation,2
Content moderation,Online learning platform,Blocking,2
Content moderation,Online learning platform,Metamoderation,2
Content moderation,Online learning platform,Modification,2
Content moderation,Online learning platform,Removal,2
Content moderation,Payment platform,Labeling,2
Content moderation,Payment platform,Marginalisation,2
Content moderation,Payment platform,Profiling,2
Content moderation,Platforms,Balancing,2
Content moderation,Platforms,Intermediate,2
Content moderation,Platforms,Prompting,2
Content moderation,Pornography,Economic,2
Content moderation,Pornography,Monitoring,2
Content moderation,Portal,Deplatforming,2
Content moderation,Portal,Labeling,2
Content moderation,Portal,Monitoring,2
Content moderation,Portal,Restricting access,2
Content moderation,Portfolio platform,Blocking,2
Content moderation,Portfolio platform,Filtering,2
Content moderation,Portfolio platform,Marginalisation,2
Content moderation,Portfolio platform,Monitoring,2
Content moderation,Portfolio platform,Self-censorship,2
Content moderation,Print media,Interiorisation,2
Content moderation,Q&A platform,Blocking,2
Content moderation,Q&A platform,Modification,2
Content moderation,Radio,Coersive,2
Content moderation,Radio,Modification,2
Content moderation,Radio,Prompting,2
Content moderation,Radio,Restricting access,2
Content moderation,Review platform,Correcting,2
Content moderation,Review platform,Economic,2
Content moderation,Review platform,Modification,2
Content moderation,Review platform,Monitoring,2
Content moderation,Review platform,Removal from circulation,2
Content moderation,Ride-sharing platform,Blocking,2
Content moderation,Ride-sharing platform,Enframing,2
Content moderation,Ride-sharing platform,Licensing,2
Content moderation,Russian social media platform,Deplatforming,2
Content moderation,Russian social media platform,Economic,2
Content moderation,Russian social media platform,Labeling,2
Content moderation,Russian social media platform,Marginalisation,2
Content moderation,Russian social media platform,Redirection,2
Content moderation,Russian social media platform,Self-censorship,2
Content moderation,Search engine,Fairness,2
Content moderation,Search engine,Inclusion,2
Content moderation,Short video platform,Interiorisation,2
Content moderation,Short video platform,Metamoderation,2
Content moderation,Short video platform,Redirection,2
Content moderation,Social media platform,Interoperability,2
Content moderation,Social media platform,Restriction access,2
Content moderation,Social media platform,Transparency,2
Content moderation,Telephony,Filtering,2
Content moderation,Telephony,Profiling,2
Content moderation,Telephony,Removal,2
Content moderation,Television,Agenda setting,2
Content moderation,Television,Prompting,2
Content moderation,Television,Restricting access,2
Content moderation,Video game,Disclosure,2
Content moderation,Video game,Metamoderation,2
Content moderation,Video game,Modification,2
Content moderation,Video sharing platform,Confiscation,2
Content moderation,Video sharing platform,Inclusion,2
Content moderation,Video sharing platform,Interoperability,2
Content moderation,Video sharing platform,Restriction access,2
Content moderation,Video streaming platform,Correcting,2
Content moderation,Video streaming platform,Deplatforming,2
Content moderation,Video streaming platform,Labeling,2
Content moderation,Video streaming platform,Metamoderation,2
Content moderation,Video streaming platform,Self-censorship,2
Content moderation,Videoconferencing,Disclosure,2
Content moderation,Videoconferencing,Metamoderation,2
Content moderation,Videoconferencing,Removal from circulation,2
Content moderation,Videoconferencing,Restricting access,2
Content moderation,Virtual reality,Marginalisation,2
Content moderation,Virtual reality,Removal,2
Content moderation,Virtual reality,Restricting access,2
Content moderation,Virtual reality,Review,2
Content moderation,Web,Filtering,2
Content moderation,Web,Metamoderation,2
Content moderation,Web,Modification,2
Content moderation,Web,Profiling,2
Content moderation,Web,Removal,2
Content moderation,Web,Restricting access,2
Content moderation,Web,Review,2
Content moderation,Wikis,Balancing,2
Content moderation,Wikis,Bridging,2
Content moderation,Wikis,Fairness,2
Content moderation,Wikis,Other,2
Content moderation,Wikis,Restriction access,2
Debate management,Blog,Coherence,2
Debate management,Blog,Enframing,2
Debate management,Blog,Filtering,2
Debate management,Deliberation platform,Modification,2
Debate management,Deliberation platform,Rating,2
Debate management,Deliberation platform,Removal,2
Debate management,Messaging platform,Balancing,2
Debate management,Messaging platform,Blocking,2
Debate management,Messaging platform,Coherence,2
Debate management,Messaging platform,Inclusion,2
Debate management,Messaging platform,Intelligibility,2
Debate management,Messaging platform,Monitoring,2
Debate management,News media,Filtering,2
Debate management,News media,Rating,2
Debate management,News media,Review,2
Debate management,Newsgroup,Enframing,2
Debate management,Online community,Coherence,2
Debate management,Online community,Enframing,2
Debate management,Online community,Monitoring,2
Debate management,Online fora,Blocking,2
Debate management,Online fora,Scheduling,2
Debate management,Online learning platform,Blocking,2
Debate management,Online learning platform,Monitoring,2
Debate management,Print media,Review,2
Debate management,Social media platform,Economic,2
Debate management,Social media platform,Inclusion,2
Debate management,Social media platform,Metamoderation,2
Debate management,Video sharing platform,Filtering,2
Debate management,Video sharing platform,Profiling,2
Debate management,Wikis,Review,2
Media moderation,Alt-tech,Filtering,2
Media moderation,Alt-tech,Monitoring,2
Media moderation,Alt-tech,Removal,2
Media moderation,App store,Enframing,2
Media moderation,App store,Labeling,2
Media moderation,App store,Rating,2
Media moderation,App store,Removal,2
Media moderation,Blog,Correcting,2
Media moderation,Blog,Filtering,2
Media moderation,Blog,Metamoderation,2
Media moderation,Film,Confiscation,2
Media moderation,Film,Interiorisation,2
Media moderation,Film,Licensing,2
Media moderation,Film,Obfuscation,2
Media moderation,Film,Rating,2
Media moderation,Film,Review,2
Media moderation,ISP,Blocking,2
Media moderation,ISP,Monitoring,2
Media moderation,Internet (general),Coersive,2
Media moderation,Internet (general),Modification,2
Media moderation,Internet (general),Monitoring,2
Media moderation,Library,Enframing,2
Media moderation,Library,Filtering,2
Media moderation,Library,Monitoring,2
Media moderation,Library,Self-censorship,2
Media moderation,Marketplace,Enframing,2
Media moderation,Marketplace,Monitoring,2
Media moderation,Marketplace,Removal,2
Media moderation,Messaging platform,Filtering,2
Media moderation,Messaging platform,Removal,2
Media moderation,Music,Deplatforming,2
Media moderation,Music,Enframing,2
Media moderation,Music,Filtering,2
Media moderation,Music,Modification,2
Media moderation,Music,Obfuscation,2
Media moderation,Music,Removal,2
Media moderation,Music,Removal from circulation,2
Media moderation,Music streaming,Enframing,2
Media moderation,Music streaming,Filtering,2
Media moderation,Music streaming,Review,2
Media moderation,Platforms,Blocking,2
Media moderation,Platforms,Enframing,2
Media moderation,Platforms,Filtering,2
Media moderation,Platforms,Monitoring,2
Media moderation,Platforms,Removal,2
Media moderation,Print media,Intelligibility,2
Media moderation,Print media,Interiorisation,2
Media moderation,Print media,Marginalisation,2
Media moderation,Print media,Obfuscation,2
Media moderation,Print media,Restricting access,2
Media moderation,Radio,Economic,2
Media moderation,Radio,Labeling,2
Media moderation,Radio,Modification,2
Media moderation,Radio,Monitoring,2
Media moderation,Radio,Removal,2
Media moderation,Radio,Self-censorship,2
Media moderation,Search engine,Labeling,2
Media moderation,Search engine,Marginalisation,2
Media moderation,Search engine,Profiling,2
Media moderation,Search engine,Removal from circulation,2
Media moderation,Social media platform,Agenda setting,2
Media moderation,Social media platform,Intelligibility,2
Media moderation,Social media platform,Prompting,2
Media moderation,Social media platform,Removal from circulation,2
Media moderation,Social media platform,Restricting access,2
Media moderation,Social media platform,Scheduling,2
Media moderation,Television,Deplatforming,2
Media moderation,Television,Economic,2
Media moderation,Television,Profiling,2
Media moderation,Television,Rating,2
Media moderation,Television,Self-censorship,2
Media moderation,Video sharing platform,Deplatforming,2
Media moderation,Video sharing platform,Disclosure,2
Media moderation,Video sharing platform,Economic,2
Media moderation,Video sharing platform,Labeling,2
Media moderation,Video sharing platform,Modification,2
Media moderation,Wikis,Economic,2
Media moderation,Wikis,Metamoderation,2
Media moderation,Wikis,Profiling,2
Media regulation,E-commerce,Deplatforming,2
Media regulation,E-commerce,Removal,2
Media regulation,Film,Blocking,2
Media regulation,Film,Interiorisation,2
Media regulation,Film,Licensing,2
Media regulation,Film,Removal from circulation,2
Media regulation,Film,Scheduling,2
Media regulation,Film,Self-censorship,2
Media regulation,Internet (general),Labeling,2
Media regulation,Internet (general),Monitoring,2
Media regulation,Internet (general),Removal from circulation,2
Media regulation,Internet (general),Restricting access,2
Media regulation,Messaging platform,Deplatforming,2
Media regulation,Messaging platform,Removal,2
Media regulation,Music,Filtering,2
Media regulation,Music,Licensing,2
Media regulation,Music,Review,2
Media regulation,Music,Scheduling,2
Media regulation,Performing arts,Licensing,2
Media regulation,Performing arts,Rating,2
Media regulation,Performing arts,Review,2
Media regulation,Print media,Filtering,2
Media regulation,Print media,Rating,2
Media regulation,Print media,Removal,2
Media regulation,Print media,Review,2
Media regulation,Radio,Blocking,2
Media regulation,Radio,Deplatforming,2
Media regulation,Radio,Enframing,2
Media regulation,Radio,Filtering,2
Media regulation,Radio,Removal,2
Media regulation,Radio,Removal from circulation,2
Media regulation,Radio,Scheduling,2
Media regulation,Radio,Self-censorship,2
Media regulation,Search engine,Deplatforming,2
Media regulation,Search engine,Enframing,2
Media regulation,Search engine,Labeling,2
Media regulation,Search engine,Review,2
Media regulation,Social media platform,Blocking,2
Media regulation,Social media platform,Disclosure,2
Media regulation,Social media platform,Marginalisation,2
Media regulation,Social media platform,Monitoring,2
Media regulation,Social media platform,Restricting access,2
Media regulation,Television,Removal from circulation,2
Media regulation,Television,Scheduling,2
Media regulation,Television,Self-censorship,2
Media regulation,Video sharing platform,Enframing,2
Media regulation,Video sharing platform,Labeling,2
Media regulation,Video sharing platform,Removal,2
Media regulation,Video sharing platform,Review,2
Other,AI,Enframing,2
Other,AI,Labeling,2
Other,AI,Modification,2
Other,AI,Profiling,2
Other,AI,Removal,2
Other,AI,Review,2
Other,Blog,Monitoring,2
Other,E-commerce,Filtering,2
Other,E-commerce,Monitoring,2
Other,Film,Modification,2
Other,Internet (general),Correcting,2
Other,Internet (general),Enframing,2
Other,Internet (general),Intelligibility,2
Other,Internet (general),Modification,2
Other,Internet (general),Monitoring,2
Other,Internet (general),Prompting,2
Other,Internet (general),Removal,2
Other,Messaging platform,Coersive,2
Other,Messaging platform,Disclosure,2
Other,Messaging platform,Enframing,2
Other,Messaging platform,Intelligibility,2
Other,Messaging platform,Restricting access,2
Other,Messaging platform,Review,2
Other,Online fora,Monitoring,2
Other,Online fora,Rating,2
Other,Print media,Blocking,2
Other,Print media,Coersive,2
Other,Print media,Correcting,2
Other,Print media,Economic,2
Other,Print media,Enframing,2
Other,Print media,Rating,2
Other,Print media,Review,2
Other,Search engine,Correcting,2
Other,Search engine,Disclosure,2
Other,Search engine,Enframing,2
Other,Search engine,Review,2
Other,Social media platform,Blocking,2
Other,Social media platform,Bridging,2
Other,Social media platform,Coersive,2
Other,Social media platform,Economic,2
Other,Social media platform,Redirection,2
Other,Television,Coersive,2
Other,Video sharing platform,Disclosure,2
Other,Video sharing platform,Economic,2
Other,Video sharing platform,Marginalisation,2
Other,Wikis,Filtering,2
Other,Wikis,Monitoring,2
(unknown),Advertising,Modification,1
(unknown),Advertising,Removal,1
(unknown),Blog,Marginalisation,1
(unknown),Blog,Modification,1
(unknown),Blog,Monitoring,1
(unknown),Messaging platform,Deplatforming,1
(unknown),Messaging platform,Disclosure,1
(unknown),Messaging platform,Economic,1
(unknown),Messaging platform,Enframing,1
(unknown),Messaging platform,Filtering,1
(unknown),Messaging platform,Monitoring,1
(unknown),Messaging platform,Removal,1
(unknown),Mobile device,Filtering,1
(unknown),Online fora,Marginalisation,1
(unknown),Online fora,Modification,1
(unknown),Online fora,Monitoring,1
(unknown),Photography,Filtering,1
(unknown),Print media,Restricting access,1
(unknown),Search engine,Disclosure,1
(unknown),Search engine,Filtering,1
(unknown),Search engine,Review,1
(unknown),Social media platform,Deplatforming,1
(unknown),Social media platform,Disclosure,1
(unknown),Social media platform,Intermediate,1
(unknown),Social media platform,Labeling,1
(unknown),Social media platform,Marginalisation,1
(unknown),Social media platform,Profiling,1
(unknown),Social media platform,Rating,1
(unknown),Software,Intermediate,1
(unknown),Video,Filtering,1
(unknown),Video sharing platform,Disclosure,1
(unknown),Video sharing platform,Intermediate,1
(unknown),Video sharing platform,Labeling,1
(unknown),Video sharing platform,Marginalisation,1
(unknown),Video sharing platform,Modification,1
(unknown),Video sharing platform,Monitoring,1
(unknown),Video sharing platform,Review,1
(unknown),Videoconferencing,Disclosure,1
(unknown),Videoconferencing,Filtering,1
(unknown),Videoconferencing,Intermediate,1
(unknown),Videoconferencing,Review,1
(unknown),Wikis,Marginalisation,1
(unknown),Wikis,Modification,1
(unknown),Wikis,Monitoring,1
Algorithmic sorting,AI,Filtering,1
Algorithmic sorting,AI,Marginalisation,1
Algorithmic sorting,AI,Monitoring,1
Algorithmic sorting,AI,Profiling,1
Algorithmic sorting,Music streaming,Filtering,1
Algorithmic sorting,Music streaming,Marginalisation,1
Algorithmic sorting,Music streaming,Monitoring,1
Algorithmic sorting,Music streaming,Profiling,1
Algorithmic sorting,Search engine,Filtering,1
Algorithmic sorting,Search engine,Marginalisation,1
Algorithmic sorting,Search engine,Monitoring,1
Algorithmic sorting,Search engine,Profiling,1
Algorithmic sorting,Social media platform,Filtering,1
Algorithmic sorting,Social media platform,Marginalisation,1
Algorithmic sorting,Social media platform,Monitoring,1
Algorithmic sorting,Social media platform,Profiling,1
Algorithmic sorting,Video streaming platform,Filtering,1
Algorithmic sorting,Video streaming platform,Marginalisation,1
Algorithmic sorting,Video streaming platform,Monitoring,1
Algorithmic sorting,Video streaming platform,Profiling,1
Censorship,AI,Agenda setting,1
Censorship,AI,Balancing,1
Censorship,AI,Intelligibility,1
Censorship,AI,Interiorisation,1
Censorship,AI,Metamoderation,1
Censorship,AI,Prompting,1
Censorship,AI,Rating,1
Censorship,AI,Redirection,1
Censorship,AI,Removal from circulation,1
Censorship,Academic publications,Agenda setting,1
Censorship,Academic publications,Correcting,1
Censorship,Academic publications,Fairness,1
Censorship,Academic publications,Profiling,1
Censorship,Adult content platform,Agenda setting,1
Censorship,Adult content platform,Blocking,1
Censorship,Adult content platform,Deplatforming,1
Censorship,Adult content platform,Economic,1
Censorship,Adult content platform,Enframing,1
Censorship,Adult content platform,Filtering,1
Censorship,Adult content platform,Labeling,1
Censorship,Adult content platform,Licensing,1
Censorship,Adult content platform,Marginalisation,1
Censorship,Adult content platform,Metamoderation,1
Censorship,Adult content platform,Modification,1
Censorship,Adult content platform,Obfuscation,1
Censorship,Adult content platform,Profiling,1
Censorship,Adult content platform,Removal,1
Censorship,Adult content platform,Restricting access,1
Censorship,Adult content platform,Review,1
Censorship,Adult content platform,Self-censorship,1
Censorship,Advertising,Coersive,1
Censorship,Advertising,Filtering,1
Censorship,Advertising,Interiorisation,1
Censorship,Advertising,Labeling,1
Censorship,Advertising,Modification,1
Censorship,Advertising,Monitoring,1
Censorship,Advertising,Review,1
Censorship,Advertising,Self-censorship,1
Censorship,Alternative news media,Blocking,1
Censorship,Alternative news media,Monitoring,1
Censorship,Anti-censorship tool,Filtering,1
Censorship,Anti-censorship tool,Modification,1
Censorship,Anti-censorship tool,Monitoring,1
Censorship,Anti-censorship tool,Profiling,1
Censorship,Anti-censorship tool,Restricting access,1
Censorship,App store,Deplatforming,1
Censorship,App store,Filtering,1
Censorship,App store,Marginalisation,1
Censorship,App store,Metamoderation,1
Censorship,App store,Monitoring,1
Censorship,App store,Review,1
Censorship,Archive,Agenda setting,1
Censorship,Archive,Blocking,1
Censorship,Archive,Deplatforming,1
Censorship,Archive,Economic,1
Censorship,Archive,Filtering,1
Censorship,Archive,Labeling,1
Censorship,Archive,Modification,1
Censorship,Archive,Profiling,1
Censorship,Archive,Removal,1
Censorship,Archive,Removal from circulation,1
Censorship,Archive,Review,1
Censorship,Archive,Self-censorship,1
Censorship,Audio,Blocking,1
Censorship,Audio,Coersive,1
Censorship,Audio,Labeling,1
Censorship,Audio,Rating,1
Censorship,Audio,Removal from circulation,1
Censorship,Audio,Restricting access,1
Censorship,Audio,Self-censorship,1
Censorship,Blockchain,Filtering,1
Censorship,Blockchain,Profiling,1
Censorship,Blockchain,Removal,1
Censorship,Blockchain,Restricting access,1
Censorship,Blog,Correcting,1
Censorship,Blog,Interiorisation,1
Censorship,Blog,Labeling,1
Censorship,Blog,Rating,1
Censorship,Broadcast media,Agenda setting,1
Censorship,Broadcast media,Deplatforming,1
Censorship,Broadcast media,Economic,1
Censorship,Broadcast media,Licensing,1
Censorship,Broadcast media,Monitoring,1
Censorship,Browser,Coersive,1
Censorship,Browser,Correcting,1
Censorship,Browser,Economic,1
Censorship,Browser,Enframing,1
Censorship,Browser,Marginalisation,1
Censorship,Browser,Obfuscation,1
Censorship,Browser,Prompting,1
Censorship,Browser,Rating,1
Censorship,Browser,Redirection,1
Censorship,Cloud computing,Filtering,1
Censorship,Cloud computing,Monitoring,1
Censorship,Cloud computing,Profiling,1
Censorship,Cloud computing,Removal,1
Censorship,Cloud computing,Restricting access,1
Censorship,Code repository,Filtering,1
Censorship,Code repository,Monitoring,1
Censorship,Code repository,Profiling,1
Censorship,Code repository,Removal,1
Censorship,Code repository,Restricting access,1
Censorship,Comics,Balancing,1
Censorship,Comics,Blocking,1
Censorship,Comics,Coersive,1
Censorship,Comics,Labeling,1
Censorship,Computer conferencing,Agenda setting,1
Censorship,Computer conferencing,Blocking,1
Censorship,Computer conferencing,Enframing,1
Censorship,Computer conferencing,Filtering,1
Censorship,Computer conferencing,Inclusion,1
Censorship,Computer conferencing,Intelligibility,1
Censorship,Computer conferencing,Metamoderation,1
Censorship,Computer conferencing,Redirection,1
Censorship,Computer conferencing,Removal,1
Censorship,Computer network,Blocking,1
Censorship,Computer network,Deplatforming,1
Censorship,Computer network,Disclosure,1
Censorship,Computer network,Enframing,1
Censorship,Computer network,Interiorisation,1
Censorship,Computer network,Licensing,1
Censorship,Computer network,Metamoderation,1
Censorship,Computer network,Monitoring,1
Censorship,Computer network,Profiling,1
Censorship,Computer network,Rating,1
Censorship,Computer network,Restricting access,1
Censorship,Computer network,Self-censorship,1
Censorship,Correspondence,Confiscation,1
Censorship,Correspondence,Licensing,1
Censorship,Correspondence,Self-censorship,1
Censorship,Crowdfunding,Agenda setting,1
Censorship,Crowdfunding,Blocking,1
Censorship,Crowdfunding,Deplatforming,1
Censorship,Crowdfunding,Economic,1
Censorship,Crowdfunding,Enframing,1
Censorship,Crowdfunding,Filtering,1
