date,ranking,classification,classification nr,text,id,replies,retweets,likes,quotes,total_engagement
2022-12-12 3:07:57,4,normal,0.6812788248,"Every milk toast conservative puppet who pushes the status quo on college campuses talks about white people puppeteering groups like BLM in the same way Kanye replaces the word white with Jewish.

Then they cry anti-Semitism “hate speech” to keep their gig like Charles Barkley.",1588482558161195009,19,32,388,,439
2022-12-12 11:56:07,8,normal,0.6812788248,"Every milk toast conservative puppet who pushes the status quo on college campuses talks about white people puppeteering groups like BLM in the same way Kanye replaces the word white with Jewish.

Then they cry anti-Semitism “hate speech” to keep their gig like Charles Barkley.",1588482558161195009,19,32,388,,439
2022-12-12 7:05:18,9,normal,0.6812788248,"Every milk toast conservative puppet who pushes the status quo on college campuses talks about white people puppeteering groups like BLM in the same way Kanye replaces the word white with Jewish.

Then they cry anti-Semitism “hate speech” to keep their gig like Charles Barkley.",1588482558161195009,19,32,388,,439
2022-12-12 5:05:54,7,normal,0.6812788248,"Every milk toast conservative puppet who pushes the status quo on college campuses talks about white people puppeteering groups like BLM in the same way Kanye replaces the word white with Jewish.

Then they cry anti-Semitism “hate speech” to keep their gig like Charles Barkley.",1588482558161195009,19,32,388,,439
2022-12-14 19:07:31,80,normal,0.6812788248,"Every milk toast conservative puppet who pushes the status quo on college campuses talks about white people puppeteering groups like BLM in the same way Kanye replaces the word white with Jewish.

Then they cry anti-Semitism “hate speech” to keep their gig like Charles Barkley.",1588482558161195009,19,32,387,,438
2022-12-14 13:10:56,75,normal,0.6812788248,"Every milk toast conservative puppet who pushes the status quo on college campuses talks about white people puppeteering groups like BLM in the same way Kanye replaces the word white with Jewish.

Then they cry anti-Semitism “hate speech” to keep their gig like Charles Barkley.",1588482558161195009,19,32,387,,438
2022-12-14 17:09:56,77,normal,0.6812788248,"Every milk toast conservative puppet who pushes the status quo on college campuses talks about white people puppeteering groups like BLM in the same way Kanye replaces the word white with Jewish.

Then they cry anti-Semitism “hate speech” to keep their gig like Charles Barkley.",1588482558161195009,19,32,387,,438
2022-12-12 15:46:30,8,normal,0.6812788248,"Every milk toast conservative puppet who pushes the status quo on college campuses talks about white people puppeteering groups like BLM in the same way Kanye replaces the word white with Jewish.

Then they cry anti-Semitism “hate speech” to keep their gig like Charles Barkley.",1588482558161195009,19,32,387,,438
2022-12-14 22:54:15,87,normal,0.6812788248,"Every milk toast conservative puppet who pushes the status quo on college campuses talks about white people puppeteering groups like BLM in the same way Kanye replaces the word white with Jewish.

Then they cry anti-Semitism “hate speech” to keep their gig like Charles Barkley.",1588482558161195009,19,32,387,,438
2022-12-14 14:59:00,9,normal,0.7732656598,"#ElonMusk on Monday called Jewish American retired US Army officer Lt.-Col. Alexander Vindman both a ""puppet & puppeteer"" in response to Vindman sharing a copypasta suggesting that Musk is ""erratic"" and too powerful now that he owns #Twitter.",1597011206753378304,81,85,186,,352
2022-12-15 0:48:43,22,normal,0.7732656598,"#ElonMusk on Monday called Jewish American retired US Army officer Lt.-Col. Alexander Vindman both a ""puppet & puppeteer"" in response to Vindman sharing a copypasta suggesting that Musk is ""erratic"" and too powerful now that he owns #Twitter.",1597011206753378304,81,84,185,,350
2022-12-12 17:44:40,143,normal,0.7191646099,"Musk today has tweeted images of his gun; used ""puppet"" and ""puppeteer"" to reference a Jewish-American patriot (@AVindman ), tweeted about ""88"" (white supremacist code for heil hitler), and put out an antisemitic ""frog"" image. TODAY",1597304353060454400,15,,294,,309
2022-12-12 17:44:40,143,normal,0.7191646099,Think twice before retweeting or circulating pics of Musk's gun. He is showing his loyalty to violent right-wing forces in our country. The picture is designed to intimidate defenders of democracy and rule of law.,1597304353060454400,15,,294,,309
2022-12-12 19:44:49,140,normal,0.7191646099,"Musk today has tweeted images of his gun; used ""puppet"" and ""puppeteer"" to reference a Jewish-American patriot (@AVindman ), tweeted about ""88"" (white supremacist code for heil hitler), and put out an antisemitic ""frog"" image. TODAY",1597304353060454400,15,,294,,309
2022-12-12 19:44:49,140,normal,0.7191646099,Think twice before retweeting or circulating pics of Musk's gun. He is showing his loyalty to violent right-wing forces in our country. The picture is designed to intimidate defenders of democracy and rule of law.,1597304353060454400,15,,294,,309
2022-12-14 13:10:56,107,normal,0.7191646099,"Musk today has tweeted images of his gun; used ""puppet"" and ""puppeteer"" to reference a Jewish-American patriot (@AVindman ), tweeted about ""88"" (white supremacist code for heil hitler), and put out an antisemitic ""frog"" image. TODAY",1597304353060454400,15,,294,,309
2022-12-14 13:10:56,107,normal,0.7191646099,Think twice before retweeting or circulating pics of Musk's gun. He is showing his loyalty to violent right-wing forces in our country. The picture is designed to intimidate defenders of democracy and rule of law.,1597304353060454400,15,,294,,309
2022-12-14 17:09:56,123,normal,0.7191646099,"Musk today has tweeted images of his gun; used ""puppet"" and ""puppeteer"" to reference a Jewish-American patriot (@AVindman ), tweeted about ""88"" (white supremacist code for heil hitler), and put out an antisemitic ""frog"" image. TODAY",1597304353060454400,15,,294,,309
2022-12-14 17:09:56,123,normal,0.7191646099,Think twice before retweeting or circulating pics of Musk's gun. He is showing his loyalty to violent right-wing forces in our country. The picture is designed to intimidate defenders of democracy and rule of law.,1597304353060454400,15,,294,,309
2022-12-15 0:48:43,145,normal,0.7191646099,"Musk today has tweeted images of his gun; used ""puppet"" and ""puppeteer"" to reference a Jewish-American patriot (@AVindman ), tweeted about ""88"" (white supremacist code for heil hitler), and put out an antisemitic ""frog"" image. TODAY",1597304353060454400,15,,294,,309
2022-12-15 0:48:43,145,normal,0.7191646099,Think twice before retweeting or circulating pics of Musk's gun. He is showing his loyalty to violent right-wing forces in our country. The picture is designed to intimidate defenders of democracy and rule of law.,1597304353060454400,15,,294,,309
